SEQN,RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
83732,62,1,3,10,4.39
83733,53,1,3,4,1.32
83734,78,1,3,5,1.51
83735,56,2,3,10,5
83736,42,2,4,7,1.23
83737,72,2,1,14,2.82
83738,11,2,1,6,1.18
83739,4,1,3,15,4.22
83740,1,1,2,77,NA
83741,22,1,4,7,2.08
83742,32,2,1,6,1.03
83743,18,1,6,15,5
83744,56,1,4,3,1.19
83745,15,2,3,4,0.86
83746,4,2,6,12,NA
83747,46,1,3,3,0.75
83748,3,1,4,6,0.94
83749,17,2,3,14,3.16
83750,45,1,7,10,1.36
83751,16,2,1,4,0.58
83752,30,2,2,15,5
83753,15,1,4,8,2.49
83754,67,2,2,6,0.89
83755,67,1,4,5,2.04
83756,16,1,3,7,1.11
83757,57,2,2,5,0.77
83758,80,1,3,9,4.71
83759,19,2,1,7,1.74
83760,3,2,4,7,1.1
83761,24,2,6,1,0
83762,27,2,4,8,2.12
83763,2,2,2,9,1.94
83764,14,1,3,15,5
83765,0,2,3,9,3.17
83766,10,2,3,14,3.34
83767,54,2,6,14,2.99
83768,15,2,3,6,1.09
83769,49,1,6,10,2.97
83770,15,1,4,4,0.66
83771,2,2,1,NA,NA
83772,2,2,7,5,1.25
83773,80,2,3,7,3.57
83774,13,2,3,15,4.3
83775,69,2,2,2,0.55
83776,58,2,1,14,3.72
83777,56,1,6,7,1.35
83778,16,1,2,5,0.99
83779,1,2,6,99,NA
83780,4,1,1,14,2.82
83781,27,2,4,77,NA
83782,0,2,3,7,0.98
83783,17,1,3,15,4.28
83784,22,1,2,NA,NA
83785,60,2,2,15,5
83786,51,1,4,77,NA
83787,68,2,1,4,1.49
83788,69,2,3,7,1.79
83789,66,1,3,10,5
83790,56,1,3,4,1
83791,80,2,3,12,NA
83792,3,2,1,14,2.51
83793,11,2,3,7,1.23
83794,10,2,4,15,4.23
83795,5,1,3,9,2.3
83796,4,2,3,6,1.32
83797,1,2,2,15,4.22
83798,0,2,7,15,5
83799,37,2,2,14,4.18
83800,10,1,4,9,2.57
83801,80,2,3,77,NA
83802,29,2,1,NA,NA
83803,27,1,4,6,2.36
83804,1,1,1,4,0.57
83805,7,2,4,7,1.89
83806,2,2,3,4,0
83807,10,2,1,12,NA
83808,4,1,6,10,1.91
83809,20,2,4,14,3.3
83810,6,2,4,7,1.1
83811,7,2,3,15,4.68
83812,68,2,1,15,5
83813,24,1,3,6,2.89
83814,11,2,2,15,4.73
83815,15,2,4,6,0.77
83816,27,1,3,7,0
83817,42,1,3,15,4.22
83818,80,2,2,3,0.84
83819,16,2,3,8,2.07
83820,70,1,3,10,4.18
83821,80,1,3,3,1.03
83822,20,2,4,6,1.62
83823,29,2,1,3,0.35
83824,23,1,6,NA,0
83825,16,2,4,6,0.77
83826,6,1,1,77,NA
83827,61,1,4,10,4.39
83828,39,2,1,4,0.49
83829,50,1,6,15,5
83830,15,1,4,8,1.98
83831,15,2,7,6,0.6
